lr_group_0,lr_group_1,step,train/loss_arc,train/loss_type,train/loss
2.0000000000000003e-06,2.0000000000000003e-06,76,,,
2.0266666666666666e-06,2.0266666666666666e-06,77,,,
2.0533333333333333e-06,2.0533333333333333e-06,78,,,
2.08e-06,2.08e-06,79,,,
2.1066666666666667e-06,2.1066666666666667e-06,80,,,
2.1333333333333334e-06,2.1333333333333334e-06,81,,,
2.16e-06,2.16e-06,82,,,
2.1866666666666668e-06,2.1866666666666668e-06,83,,,
2.2133333333333335e-06,2.2133333333333335e-06,84,,,
2.24e-06,2.24e-06,85,,,
2.266666666666667e-06,2.266666666666667e-06,86,,,
2.2933333333333335e-06,2.2933333333333335e-06,87,,,
2.32e-06,2.32e-06,88,,,
2.346666666666667e-06,2.346666666666667e-06,89,,,
2.373333333333333e-06,2.373333333333333e-06,90,,,
2.4000000000000003e-06,2.4000000000000003e-06,91,,,
2.4266666666666666e-06,2.4266666666666666e-06,92,,,
2.4533333333333337e-06,2.4533333333333337e-06,93,,,
2.48e-06,2.48e-06,94,,,
2.506666666666667e-06,2.506666666666667e-06,95,,,
2.5333333333333334e-06,2.5333333333333334e-06,96,,,
2.56e-06,2.56e-06,97,,,
2.5866666666666667e-06,2.5866666666666667e-06,98,,,
2.6133333333333334e-06,2.6133333333333334e-06,99,,,
2.64e-06,2.64e-06,100,,,
,,99,2.495476245880127,2.9682037830352783,5.463680267333984
2.666666666666667e-06,2.666666666666667e-06,102,,,
2.6933333333333335e-06,2.6933333333333335e-06,103,,,
2.72e-06,2.72e-06,104,,,
2.746666666666667e-06,2.746666666666667e-06,105,,,
2.773333333333333e-06,2.773333333333333e-06,106,,,
2.8000000000000003e-06,2.8000000000000003e-06,107,,,
2.8266666666666666e-06,2.8266666666666666e-06,108,,,
2.8533333333333337e-06,2.8533333333333337e-06,109,,,
2.88e-06,2.88e-06,110,,,
2.906666666666667e-06,2.906666666666667e-06,111,,,
2.9333333333333333e-06,2.9333333333333333e-06,112,,,
